country,iso_code,year,WBL INDEX,MOBILITY,WORKPLACE,PAY,MARRIAGE,PARENTHOOD,ENTREPRENEURSHIP,ASSETS,PENSION
Austria,AUT,2010,91.25,100,100,100,100,80,100,100,50
Austria,AUT,2011,91.25,100,100,100,100,80,100,100,50
Austria,AUT,2012,91.25,100,100,100,100,80,100,100,50
Austria,AUT,2013,91.25,100,100,100,100,80,100,100,50
Austria,AUT,2014,91.25,100,100,100,100,80,100,100,50
Austria,AUT,2015,91.25,100,100,100,100,80,100,100,50
Austria,AUT,2016,94.375,100,100,100,100,80,100,100,75
Austria,AUT,2017,94.375,100,100,100,100,80,100,100,75
Austria,AUT,2018,94.375,100,100,100,100,80,100,100,75
Austria,AUT,2019,94.375,100,100,100,100,80,100,100,75
Austria,AUT,2020,94.375,100,100,100,100,80,100,100,75
Austria,AUT,2021,96.875,100,100,100,100,100,100,100,75
Austria,AUT,2022,96.875,100,100,100,100,100,100,100,75
Austria,AUT,2023,96.875,100,100,100,100,100,100,100,75
Belgium,BEL,2010,93.75,100,100,50,100,100,100,100,100
Belgium,BEL,2011,100.0,100,100,100,100,100,100,100,100
Belgium,BEL,2012,100.0,100,100,100,100,100,100,100,100
Belgium,BEL,2013,100.0,100,100,100,100,100,100,100,100
Belgium,BEL,2014,100.0,100,100,100,100,100,100,100,100
Belgium,BEL,2015,100.0,100,100,100,100,100,100,100,100
Belgium,BEL,2016,100.0,100,100,100,100,100,100,100,100
Belgium,BEL,2017,100.0,100,100,100,100,100,100,100,100
Belgium,BEL,2018,100.0,100,100,100,100,100,100,100,100
Belgium,BEL,2019,100.0,100,100,100,100,100,100,100,100
Belgium,BEL,2020,100.0,100,100,100,100,100,100,100,100
Belgium,BEL,2021,100.0,100,100,100,100,100,100,100,100
Belgium,BEL,2022,100.0,100,100,100,100,100,100,100,100
Belgium,BEL,2023,100.0,100,100,100,100,100,100,100,100
Bulgaria,BGR,2010,93.75,100,100,75,100,100,100,100,75
Bulgaria,BGR,2011,93.75,100,100,75,100,100,100,100,75
Bulgaria,BGR,2012,90.625,100,100,75,100,100,100,100,50
Bulgaria,BGR,2013,90.625,100,100,75,100,100,100,100,50
Bulgaria,BGR,2014,90.625,100,100,75,100,100,100,100,50
Bulgaria,BGR,2015,90.625,100,100,75,100,100,100,100,50
Bulgaria,BGR,2016,90.625,100,100,75,100,100,100,100,50
Bulgaria,BGR,2017,90.625,100,100,100,100,100,100,100,25
Bulgaria,BGR,2018,90.625,100,100,100,100,100,100,100,25
Bulgaria,BGR,2019,90.625,100,100,100,100,100,100,100,25
Bulgaria,BGR,2020,90.625,100,100,100,100,100,100,100,25
Bulgaria,BGR,2021,90.625,100,100,100,100,100,100,100,25
Bulgaria,BGR,2022,90.625,100,100,100,100,100,100,100,25
Bulgaria,BGR,2023,90.625,100,100,100,100,100,100,100,25
Croatia,HRV,2010,84.375,100,100,25,100,100,100,100,50
Croatia,HRV,2011,93.75,100,100,100,100,100,100,100,50
Croatia,HRV,2012,93.75,100,100,100,100,100,100,100,50
Croatia,HRV,2013,93.75,100,100,100,100,100,100,100,50
Croatia,HRV,2014,93.75,100,100,100,100,100,100,100,50
Croatia,HRV,2015,93.75,100,100,100,100,100,100,100,50
Croatia,HRV,2016,93.75,100,100,100,100,100,100,100,50
Croatia,HRV,2017,93.75,100,100,100,100,100,100,100,50
Croatia,HRV,2018,93.75,100,100,100,100,100,100,100,50
Croatia,HRV,2019,93.75,100,100,100,100,100,100,100,50
Croatia,HRV,2020,93.75,100,100,100,100,100,100,100,50
Croatia,HRV,2021,93.75,100,100,100,100,100,100,100,50
Croatia,HRV,2022,93.75,100,100,100,100,100,100,100,50
Croatia,HRV,2023,93.75,100,100,100,100,100,100,100,50
Cyprus,CYP,2010,88.75,75,100,75,100,60,100,100,100
Cyprus,CYP,2011,88.75,75,100,75,100,60,100,100,100
Cyprus,CYP,2012,88.75,75,100,75,100,60,100,100,100
Cyprus,CYP,2013,88.75,75,100,75,100,60,100,100,100
Cyprus,CYP,2014,88.75,75,100,75,100,60,100,100,100
Cyprus,CYP,2015,88.75,75,100,75,100,60,100,100,100
Cyprus,CYP,2016,88.75,75,100,75,100,60,100,100,100
Cyprus,CYP,2017,88.75,75,100,75,100,60,100,100,100
Cyprus,CYP,2018,88.75,75,100,75,100,60,100,100,100
Cyprus,CYP,2019,91.25,75,100,75,100,80,100,100,100
Cyprus,CYP,2020,91.25,75,100,75,100,80,100,100,100
Cyprus,CYP,2021,91.25,75,100,75,100,80,100,100,100
Cyprus,CYP,2022,94.375,100,100,75,100,80,100,100,100
Cyprus,CYP,2023,94.375,100,100,75,100,80,100,100,100
Czechia,CZE,2010,88.125,100,100,75,100,80,100,100,50
Czechia,CZE,2011,88.125,100,100,75,100,80,100,100,50
Czechia,CZE,2012,88.125,100,100,75,100,80,100,100,50
Czechia,CZE,2013,91.25,100,100,100,100,80,100,100,50
Czechia,CZE,2014,91.25,100,100,100,100,80,100,100,50
Czechia,CZE,2015,91.25,100,100,100,100,80,100,100,50
Czechia,CZE,2016,91.25,100,100,100,100,80,100,100,50
Czechia,CZE,2017,91.25,100,100,100,100,80,100,100,50
Czechia,CZE,2018,91.25,100,100,100,100,80,100,100,50
Czechia,CZE,2019,93.75,100,100,100,100,100,100,100,50
Czechia,CZE,2020,93.75,100,100,100,100,100,100,100,50
Czechia,CZE,2021,93.75,100,100,100,100,100,100,100,50
Czechia,CZE,2022,93.75,100,100,100,100,100,100,100,50
Czechia,CZE,2023,93.75,100,100,100,100,100,100,100,50
Denmark,DNK,2010,97.5,100,100,100,80,100,100,100,100
Denmark,DNK,2011,97.5,100,100,100,80,100,100,100,100
Denmark,DNK,2012,97.5,100,100,100,80,100,100,100,100
Denmark,DNK,2013,100.0,100,100,100,100,100,100,100,100
Denmark,DNK,2014,100.0,100,100,100,100,100,100,100,100
Denmark,DNK,2015,100.0,100,100,100,100,100,100,100,100
Denmark,DNK,2016,100.0,100,100,100,100,100,100,100,100
Denmark,DNK,2017,100.0,100,100,100,100,100,100,100,100
Denmark,DNK,2018,100.0,100,100,100,100,100,100,100,100
